,,Población por distrito y barrio
Fecha: ,01-11-2020,
,,
District,Neighbourhood,Total
VILLA DE VALLECAS,ENSANCHE DE VALLECAS,"50,259"
VICALVARO,CASCO H.VICALVARO,"35,742"
VICALVARO,VALDEBERNARDO,"17,678"
VICALVARO,VALDERRIVAS,"18,066"
VICALVARO,EL CAÑAVERAL,"3,811"
SAN BLAS-CANILLEJAS,SIMANCAS,"28,731"
SAN BLAS-CANILLEJAS,HELLÍN,"9,406"
SAN BLAS-CANILLEJAS,AMPOSTA,"8,925"
SAN BLAS-CANILLEJAS,ARCOS,"24,552"
SAN BLAS-CANILLEJAS,ROSAS,"31,781"
SAN BLAS-CANILLEJAS,REJAS,"17,261"
SAN BLAS-CANILLEJAS,CANILLEJAS,"29,116"
SAN BLAS-CANILLEJAS,SALVADOR,"11,437"
BARAJAS,ALAMEDA DE OSUNA,"19,811"
BARAJAS,AEROPUERTO,"1,922"
BARAJAS,CASCO HISTÓRICO DE BARAJAS,"7,536"
BARAJAS,TIMÓN,"13,310"
BARAJAS,CORRALEJOS,"7,745"
,,
,,
,,
Fuente: ,Padrón Municipal de Habitantes (Datos Provisionales),
